Serial Number, Wavelength,Intensity,Absorbance,Reflectance
6100024,901.369481389433,23964,0.4710441,0.3380305
6100024,905.2500597840384,27062,0.4696648,0.3391058
6100024,909.1264146998071,29239,0.4714852,0.3376874
6100024,912.9985461367394,31498,0.472798,0.3366682
6100024,916.8664540948351,34037,0.4750621,0.3349175
6100024,922.0170948496615,38657,0.4731221,0.336417
6100024,925.8751480238053,42459,0.4776596,0.3329204
6100024,929.7289777191128,47406,0.4761368,0.3340898
6100024,933.5785839355835,52459,0.4779952,0.3326633
6100024,937.4239666732178,57456,0.4798464,0.3312482
6100024,941.2651259320156,62265,0.4801564,0.3310119
6100024,945.1020617119768,66236,0.4816458,0.3298786
6100024,948.9347740131016,69352,0.4860322,0.3265637
6100024,954.0384872253001,73125,0.48986,0.323698
6100024,957.861344742473,74497,0.4997692,0.3163959
6100024,961.6799787808093,76907,0.5023503,0.314521
6100024,965.4943893403092,78653,0.5074893,0.3108212
6100024,969.3045764209725,81094,0.5079512,0.3104908
6100024,973.1105400227992,83337,0.5087529,0.3099182
6100024,976.9122801457895,85721,0.507611,0.3107342
6100024,980.7097967899433,87825,0.5066479,0.311424
6100024,985.7665824595136,90662,0.5033463,0.3138005
6100024,989.5542443197156,92226,0.501909,0.3148408
6100024,993.337682701081,93355,0.5013228,0.315266
6100024,997.1168976036098,94335,0.5003428,0.3159783
6100024,1000.891889027302,96132,0.494589,0.3201924
6100024,1004.662656972158,97032,0.4920813,0.3220466
6100024,1008.429201438177,97250,0.4914495,0.3225154
6100024,1012.19152242536,98216,0.4865862,0.3261473
6100024,1017.201380552302,98272,0.4848015,0.3274904
6100024,1020.953846755533,98802,0.4804651,0.3307767
6100024,1024.702089479928,98975,0.4770232,0.3334086
6100024,1028.446108725486,98766,0.4752145,0.3348
6100024,1032.185904492207,98488,0.4732767,0.3362972
6100024,1035.921476780092,98306,0.4704764,0.3384727
6100024,1039.65282558914,97637,0.4698565,0.3389561
6100024,1043.379950919352,96895,0.4699037,0.3389193
6100024,1048.342881503666,96873,0.4651016,0.3426876
6100024,1052.060152049926,96092,0.4658923,0.3420642
6100024,1055.77319911735,95553,0.4658391,0.3421062
6100024,1059.482022705937,95355,0.4642559,0.3433556
6100024,1063.186622815687,95152,0.4639474,0.3435996
6100024,1066.886999446601,94791,0.4651604,0.3426412
6100024,1070.583152598678,94635,0.4655475,0.3423359
6100024,1074.275082271919,94693,0.4661039,0.3418977
6100024,1077.962788466323,94801,0.4656543,0.3422517
6100024,1082.873160202894,95049,0.4667653,0.3413773
6100024,1086.551011613347,94879,0.46969,0.3390861
6100024,1090.224639544962,95429,0.4687136,0.3398493
6100024,1093.894043997742,95597,0.4704404,0.3385007
6100024,1097.559224971685,95920,0.4718631,0.3373936
6100024,1101.220182466791,96749,0.4707256,0.3382785
6100024,1104.876916483061,96863,0.4728559,0.3366233
6100024,1108.529427020494,97057,0.4747867,0.33513
6100024,1113.392871214437,96851,0.4790452,0.3318599
6100024,1117.035526967919,98129,0.4758966,0.3342746
6100024,1120.673959242564,97629,0.4802005,0.3309783
6100024,1124.308168038372,97990,0.4803285,0.3308807
6100024,1127.938153355344,97885,0.4831735,0.3287202
6100024,1131.563915193479,96143,0.4928261,0.3214947
6100024,1135.185453552778,95350,0.4985454,0.3172887
6100024,1138.80276843324,93619,0.5084156,0.310159
6100024,1143.619285084555,90654,0.525065,0.2984936
6100024,1147.226745181066,88355,0.5383719,0.2894863
6100024,1150.82998179874,85991,0.552265,0.2803722
6100024,1154.428994937577,84489,0.5617464,0.2743176
6100024,1158.023784597578,83494,0.5690587,0.2697375
6100024,1161.614350778742,82577,0.5758817,0.2655329
6100024,1165.20069348107,82539,0.578527,0.2639204
6100024,1168.782812704562,82531,0.5805352,0.2627029
6100024,1173.552401813249,82652,0.583647,0.2608273
6100024,1177.124666252788,83528,0.5824566,0.2615432
6100024,1180.692707213491,83393,0.5861837,0.2593082
6100024,1184.256524695358,83675,0.5890403,0.2576082
6100024,1187.816118698388,84698,0.5888301,0.2577329
6100024,1191.371489222581,85088,0.5919259,0.2559022
6100024,1194.922636267938,85784,0.593971,0.2547001
6100024,1198.469559834458,86491,0.5958726,0.2535872
6100024,1203.192221400517,88018,0.5962371,0.2533745
6100024,1206.729290183086,89241,0.5960696,0.2534723
